onset	duration	bid
7.444	4.027	4.0
18.152	4.027	2.5
28.327	4.027	3.0
38.052	4.027	3.5
48.560	4.027	1.0
58.885	4.027	4.0
69.859	4.027	4.0
92.507	4.027	4.0
103.249	4.027	1.0
113.140	4.027	1.5
123.598	4.027	0.0
135.339	4.027	3.5
145.231	4.027	3.5
155.805	4.027	3.0
165.930	4.027	2.0
175.972	4.027	4.5
185.914	4.027	2.0
196.305	4.027	2.5
205.731	4.027	3.5
215.156	4.027	4.0
225.031	4.027	5.0
235.173	4.027	3.5
245.598	4.027	3.0
255.340	4.027	5.0
266.747	4.027	1.5
276.606	4.027	5.0
287.147	4.027	1.0
296.806	4.027	2.0
306.531	4.027	1.5
316.256	4.027	3.0
326.531	4.027	1.5
336.240	4.027	3.5
346.631	4.027	4.0
357.456	4.027	1.0
368.180	4.027	4.0
378.971	4.027	4.0
389.596	4.027	5.0
400.204	4.027	3.0
410.595	4.027	4.0
421.570	4.027	5.0
432.344	4.027	5.0
442.952	4.027	2.5
453.393	4.027	1.0
463.102	4.027	2.5
