onset	duration	bid
7.644	4.024	5.0
18.268	4.024	5.0
29.326	4.024	1.5
39.251	4.024	3.0
48.560	4.024	5.0
59.285	4.024	4.0
69.426	4.024	4.5
79.585	4.024	2.0
88.877	4.024	4.0
99.435	4.024	1.5
110.109	4.024	4.5
120.851	4.024	4.0
132.341	4.024	0.5
142.366	4.024	1.0
166.180	4.024	3.0
176.005	4.024	3.5
185.797	4.024	3.5
196.638	4.024	5.0
207.846	4.024	2.0
217.038	4.024	1.0
227.646	4.024	1.5
237.804	4.024	1.5
247.063	4.024	5.0
258.204	4.024	0.0
268.429	4.024	1.0
279.154	4.024	1.5
288.896	4.024	5.0
299.420	4.024	5.0
309.595	4.024	1.0
321.219	4.024	4.0
331.294	4.024	1.5
341.103	4.024	2.0
351.261	4.024	5.0
361.469	4.024	1.5
371.144	4.024	1.0
380.870	4.024	3.0
390.928	4.024	1.5
400.803	4.024	5.0
411.994	4.024	1.0
422.519	4.024	3.0
433.010	4.024	1.5
443.235	4.024	2.0
454.709	4.024	1.5
465.667	4.024	5.0
