onset	duration	bid
7.227	4.012	1.5
16.720	4.012	2.0
25.879	4.012	2.0
36.287	4.012	2.5
46.462	4.012	5.0
56.903	4.012	1.0
67.045	4.012	5.0
78.186	4.012	1.5
88.744	4.012	0.0
98.869	4.012	5.0
109.493	4.012	2.0
119.868	4.012	1.0
130.393	4.012	5.0
141.417	4.012	1.5
151.775	4.012	5.0
163.049	4.012	4.0
172.958	4.012	4.0
184.631	4.012	4.0
195.156	4.012	5.0
205.614	4.012	1.0
215.639	4.012	2.5
226.180	4.012	4.0
237.138	4.012	1.0
247.097	4.012	3.0
256.655	4.012	2.0
265.998	4.012	1.5
276.556	4.012	5.0
287.180	4.012	1.0
297.422	4.012	4.5
307.580	4.012	5.0
318.421	4.012	1.0
329.445	4.012	3.0
339.337	4.012	2.5
348.163	4.012	4.0
357.939	4.012	2.0
367.964	4.012	1.0
378.372	4.012	1.5
388.747	4.012	5.0
399.105	4.012	1.0
409.046	4.012	2.0
418.805	4.012	2.0
429.047	4.012	1.0
439.638	4.012	5.0
449.996	4.012	2.0
459.488	4.012	5.0
