onset	duration	bid
7.428	4.019	4.0
19.351	4.019	2.0
29.526	4.019	1.5
41.183	4.019	4.0
51.774	4.019	1.5
63.082	4.019	1.0
74.239	4.019	1.5
84.913	4.019	2.0
96.837	4.019	3.0
106.612	4.019	2.0
116.121	4.019	1.0
128.078	4.019	1.0
139.601	4.019	2.0
149.776	4.019	4.0
161.117	4.019	2.0
170.776	4.019	1.5
181.700	4.019	1.0
193.307	4.019	1.5
204.348	4.019	4.0
226.613	4.019	2.0
236.588	4.019	2.0
246.496	4.019	1.5
256.705	4.019	2.0
267.512	4.019	0.5
277.887	4.019	2.5
288.795	4.019	3.5
300.035	4.019	1.5
310.427	4.019	1.5
322.017	4.019	1.0
332.808	4.019	1.5
343.050	4.019	2.0
352.975	4.019	2.0
362.650	4.019	3.5
372.925	4.019	2.0
383.183	4.019	5.0
394.724	4.019	5.0
405.148	4.019	3.5
415.923	4.019	4.0
426.564	4.019	1.5
437.555	4.019	4.0
447.646	4.019	2.0
457.455	4.019	2.0
467.563	4.019	2.0
477.955	4.019	2.0
