onset	duration	bid
8.043	4.011	2.0
18.734	4.011	1.5
29.309	4.011	1.5
39.450	4.011	2.5
48.809	4.011	4.0
61.182	4.011	0.5
72.040	4.011	5.0
83.264	4.011	2.0
93.589	4.011	2.0
104.480	4.011	1.5
114.322	4.011	2.0
124.080	4.011	1.5
135.421	4.011	1.0
146.179	4.011	1.5
156.287	4.011	2.0
166.678	4.011	4.0
177.869	4.011	2.0
188.677	4.011	1.0
199.601	4.011	2.0
209.393	4.011	2.0
220.184	4.011	4.0
230.692	4.011	3.5
241.366	4.011	1.5
251.575	4.011	1.5
262.865	4.011	2.5
271.874	4.011	3.5
282.183	4.011	1.5
294.273	4.011	1.5
304.880	4.012	2.0
315.738	4.011	1.5
326.329	4.011	1.0
336.754	4.011	1.0
346.862	4.011	3.5
358.086	4.011	2.0
368.311	4.011	2.0
377.803	4.012	4.0
388.944	4.011	4.0
400.235	4.011	2.0
409.910	4.011	1.0
421.101	4.011	2.0
431.242	4.011	2.0
442.450	4.011	3.5
453.774	4.011	5.0
465.081	4.011	2.0
476.205	4.011	2.0
