onset	duration	bid
7.044	4.016	1.0
17.652	4.016	1.0
27.660	4.016	3.0
37.636	4.016	3.0
48.377	4.016	0.5
59.085	4.016	0.0
69.826	4.016	0.5
80.983	4.016	2.5
90.459	4.016	1.0
101.083	4.016	0.5
111.941	4.016	1.0
122.632	4.016	3.0
132.941	4.016	1.5
143.349	4.016	1.5
153.507	4.016	2.0
163.915	4.016	1.0
174.423	4.016	4.0
185.514	4.016	0.5
195.706	4.016	1.0
205.714	4.016	1.5
216.289	4.016	0.0
228.062	4.016	4.0
238.204	4.016	1.0
247.813	4.016	4.0
257.705	4.016	4.0
268.113	4.016	0.5
278.921	4.016	1.0
289.412	4.016	2.5
299.137	4.016	2.0
308.130	4.016	0.5
319.654	4.016	1.0
329.995	4.016	0.5
340.437	4.016	0.5
350.595	4.016	2.5
359.921	4.016	2.0
369.213	4.016	1.5
378.655	4.016	5.0
390.696	4.016	2.0
400.488	4.016	1.5
409.930	4.016	2.5
418.939	4.016	2.0
428.698	4.016	1.5
439.189	4.016	1.0
448.948	4.016	3.0
458.523	4.016	0.0
