onset	duration	bid
7.228	4.023	0.5
17.436	4.023	1.0
27.061	4.023	3.5
37.902	4.023	0.5
48.760	4.023	0.5
58.869	4.023	5.0
69.343	4.023	1.0
79.385	4.023	0.0
89.876	4.023	1.0
99.852	4.023	5.0
111.242	4.023	0.5
121.084	4.023	0.5
131.559	4.023	1.0
142.333	4.023	1.0
153.208	4.023	0.5
164.016	4.023	1.0
174.790	4.023	3.5
184.515	4.023	1.5
196.589	4.023	0.5
207.247	4.023	1.0
218.021	4.023	1.0
228.696	4.023	1.0
239.837	4.023	0.5
250.528	4.023	0.0
261.552	4.023	1.5
271.444	4.023	1.0
282.035	4.023	0.5
292.627	4.023	5.0
303.901	4.023	1.0
315.175	4.023	1.0
324.967	4.023	1.0
335.558	4.023	0.0
346.299	4.023	0.5
356.191	4.023	3.0
366.166	4.023	3.5
375.925	4.023	4.5
385.967	4.023	1.0
396.175	4.023	1.0
407.166	4.023	5.0
418.490	4.023	0.5
428.831	4.023	0.5
439.123	4.023	0.5
449.098	4.023	4.5
460.022	4.023	0.5
470.564	4.023	1.0
