onset	duration	bid
8.027	4.012	5.0
18.152	4.012	4.0
29.193	4.012	5.0
40.084	4.012	2.0
49.676	4.012	1.0
60.384	4.012	1.0
70.792	4.012	0.0
80.717	4.012	1.0
90.559	4.012	1.5
100.401	4.012	1.5
110.893	4.012	2.0
121.051	4.012	1.5
132.075	4.012	2.5
153.191	4.012	1.0
163.449	4.012	1.0
174.757	4.012	0.0
185.881	4.012	3.5
196.506	4.012	0.0
207.546	4.012	1.0
217.622	4.012	4.5
228.030	4.012	0.5
238.255	4.012	0.5
249.479	4.012	1.0
259.304	4.012	1.0
269.512	4.012	5.0
280.870	4.012	1.0
291.877	4.012	1.5
301.403	4.012	0.5
312.044	4.012	0.5
322.336	4.012	0.5
332.744	4.012	4.5
343.135	4.012	1.0
352.810	4.012	1.0
362.669	4.012	0.5
372.628	4.012	0.5
384.101	4.012	2.0
393.977	4.012	0.5
404.501	4.012	0.5
415.109	4.012	1.0
425.301	4.012	3.5
435.226	4.012	0.0
445.867	4.012	1.0
456.359	4.012	4.0
467.283	4.012	1.0
