onset	duration	bid
7.843	4.015	1.0
18.901	4.015	1.0
29.758	4.015	0.5
41.682	4.015	1.0
53.505	4.015	0.5
79.434	4.015	0.0
90.325	4.015	1.0
100.700	4.015	0.5
111.874	4.015	0.0
123.031	4.015	0.5
135.538	4.015	1.0
147.495	4.015	1.5
157.336	4.015	2.0
166.912	4.015	1.5
177.187	4.015	1.0
187.745	4.015	1.0
199.602	4.015	1.5
210.176	4.015	3.0
220.801	4.015	1.0
231.076	4.015	2.5
241.034	4.015	0.0
253.257	4.015	0.5
264.948	4.015	1.0
275.656	4.015	2.5
286.746	4.015	1.5
298.054	4.015	2.0
307.879	4.015	1.0
318.853	4.015	1.0
330.644	4.015	1.5
341.268	4.015	0.5
351.943	4.015	1.0
363.433	4.015	1.0
373.808	4.015	3.0
384.249	4.015	2.0
393.575	4.015	1.5
403.617	4.015	2.5
413.125	4.015	1.0
422.967	4.015	0.5
434.608	4.015	2.5
444.233	4.015	2.0
454.275	4.015	2.5
464.233	4.015	2.0
473.659	4.015	1.0
483.917	4.015	2.5
