onset	duration	bid
7.045	4.022	2.5
16.753	4.022	2.0
27.078	4.022	1.0
37.902	4.022	0.5
49.193	4.022	1.0
60.301	4.022	0.5
71.475	4.022	1.0
82.366	4.022	1.0
92.774	4.022	2.0
102.150	4.022	2.0
112.125	4.022	0.5
124.065	4.022	1.0
134.689	4.022	2.5
144.265	4.022	1.5
155.389	4.022	2.5
165.131	4.022	1.0
175.739	4.022	2.5
185.431	4.022	0.5
196.838	4.022	0.5
208.778	4.022	0.5
220.269	4.022	0.0
232.142	4.022	0.5
244.166	4.022	0.5
254.924	4.022	1.0
265.698	4.022	1.0
276.872	4.022	1.0
288.746	4.022	3.5
300.486	4.022	0.5
312.476	4.022	2.0
322.601	4.022	3.0
332.210	4.022	0.5
342.934	4.022	2.0
352.759	4.022	1.0
363.517	4.022	1.5
374.791	4.022	1.0
385.932	4.022	1.5
396.623	4.022	0.5
408.314	4.022	1.0
419.738	4.022	0.5
429.979	4.022	1.0
440.687	4.022	0.5
451.345	4.022	1.0
462.769	4.022	0.5
474.010	4.022	2.5
483.235	4.022	0.5
